Source Node,Target Node,Edge Rate,Timestamp
0,148,0.0,10
0,153,0.0,10
0,207,0.0,10
0,256,0.205929,10
0,278,0.0,10
0,290,0.085759,10
0,40,0.050014,10
0,452,0.0,10
0,60,0.112511,10
0,72,0.0,10
0,78,0.0,10
1,108,0.0,10
1,111,0.0,10
1,223,0.0,10
1,230,0.0,10
1,32,0.115038,10
1,335,0.0,10
1,383,0.0,10
1,388,0.0,10
1,483,0.0,10
1,8,0.144331,10
1,87,0.0,10
10,191,0.0,10
10,22,0.0,10
10,281,0.09729,10
10,320,0.0,10
10,392,0.141554,10
10,452,0.0,10
10,75,0.064561,10
101,103,0.082587,10
101,109,0.057537,10
101,117,0.080019,10
101,173,0.0,10
101,229,0.0,10
101,289,0.0,10
101,292,0.0,10
101,58,0.0,10
102,380,0.0,10
103,195,0.109333,10
103,256,0.078831,10
103,292,0.15931,10
103,316,0.0,10
103,370,0.0,10
103,41,0.0,10
103,81,0.0,10
104,105,0.210419,10
104,121,0.094173,10
104,377,0.05844,10
105,121,0.071552,10
105,281,0.050555,10
107,195,0.0,10
107,235,0.0,10
107,305,0.160177,10
107,316,0.0,10
107,415,0.0,10
107,481,0.0,10
108,167,0.0,10
108,252,0.117251,10
108,254,0.054528,10
108,305,0.0,10
108,353,0.0,10
108,354,0.0,10
108,473,0.0,10
109,105,0.0,10
109,108,0.0,10
109,136,0.0,10
109,138,0.0,10
109,195,0.0,10
109,281,0.0,10
109,320,0.0,10
109,344,0.0,10
109,353,0.124716,10
109,89,0.0,10
111,108,0.0,10
111,203,0.200617,10
111,292,0.0,10
111,497,0.0,10
112,111,0.07225,10
112,121,0.056906,10
112,145,0.062474,10
112,191,0.0,10
112,22,0.0,10
112,26,0.052162,10
112,292,0.0,10
112,362,0.051991,10
112,434,0.0,10
112,477,0.065028,10
114,121,0.0,10
114,153,0.0,10
114,260,0.180449,10
114,314,0.082082,10
114,354,0.0,10
114,388,0.061254,10
114,491,0.0,10
115,170,0.051709,10
115,244,0.058479,10
115,265,0.0,10
115,380,0.051695,10
115,40,0.0,10
115,43,0.054934,10
116,122,0.121815,10
116,144,0.0,10
116,184,0.0,10
116,243,0.060284,10
116,291,0.0,10
116,379,0.08903,10
116,423,0.065032,10
116,435,0.170679,10
116,78,0.080458,10
117,10,0.0,10
117,105,0.0,10
117,109,0.235278,10
117,153,0.0,10
117,17,0.0,10
117,195,0.0,10
117,229,0.0,10
117,260,0.0,10
117,281,0.0,10
117,320,0.0,10
117,33,0.123747,10
117,85,0.0,10
117,89,0.184742,10
12,65,0.0,10
120,255,0.13466,10
120,320,0.0,10
120,363,0.286416,10
120,406,0.099472,10
120,421,0.0,10
120,484,0.0,10
121,17,0.0,10
121,377,0.086314,10
121,480,0.085208,10
122,121,0.0,10
122,147,0.071772,10
122,173,0.0,10
122,250,0.104726,10
122,415,0.0,10
122,434,0.0,10
122,71,0.0,10
122,72,0.0,10
123,169,0.054703,10
123,359,0.07317,10
123,495,0.071811,10
124,316,0.106315,10
125,153,0.0,10
125,265,0.0,10
125,297,0.120541,10
125,384,0.060475,10
125,40,0.0,10
125,413,0.052669,10
125,467,0.0,10
125,489,0.0,10
126,280,0.0,10
126,294,0.211929,10
126,300,0.148122,10
126,309,0.0,10
126,363,0.0,10
126,438,0.0,10
126,454,0.0,10
126,484,0.0,10
126,486,0.0886,10
126,72,0.0,10
127,156,0.110983,10
127,210,0.117963,10
127,280,0.0,10
127,287,0.0,10
127,335,0.0,10
127,354,0.155272,10
127,363,0.0,10
127,471,0.0,10
13,155,0.0,10
13,200,0.051549,10
13,321,0.0,10
131,171,0.080446,10
131,418,0.0,10
131,419,0.053334,10
131,454,0.0,10
133,109,0.072908,10
133,344,0.0,10
133,353,0.0,10
133,358,0.0,10
133,77,0.163121,10
134,120,0.0,10
134,131,0.068287,10
134,154,0.063105,10
134,196,0.123152,10
134,237,0.0,10
134,306,0.13937,10
134,321,0.0,10
134,326,0.078365,10
134,419,0.0,10
134,435,0.0,10
134,454,0.0,10
134,58,0.0,10
136,109,0.0,10
136,138,0.23196,10
136,170,0.069496,10
136,335,0.0,10
136,434,0.053312,10
136,5,0.059587,10
137,216,0.06796,10
137,281,0.061854,10
137,36,0.084674,10
138,170,0.170264,10
138,182,0.088142,10
138,214,0.0,10
138,287,0.0,10
138,335,0.0,10
138,434,0.179389,10
138,5,0.107422,10
140,117,0.0,10
140,15,0.088931,10
140,157,0.0,10
140,181,0.052972,10
140,221,0.0,10
140,236,0.08181,10
140,280,0.0,10
140,286,0.059594,10
140,287,0.0,10
140,29,0.0,10
140,298,0.0,10
140,301,0.070379,10
140,365,0.063885,10
140,383,0.069804,10
140,389,0.053727,10
140,431,0.0,10
140,484,0.088455,10
140,495,0.054967,10
140,95,0.0,10
141,0,0.0,10
141,115,0.0,10
141,173,0.167116,10
141,230,0.0,10
141,233,0.07208,10
141,241,0.0,10
141,265,0.0,10
141,312,0.072699,10
141,380,0.0,10
141,473,0.0,10
143,121,0.05899,10
143,245,0.0,10
143,377,0.0,10
143,459,0.088852,10
143,91,0.054998,10
144,167,0.055102,10
144,374,0.0,10
144,439,0.086223,10
144,441,0.079336,10
145,157,0.075776,10
145,187,0.123963,10
145,209,0.180092,10
145,473,0.0,10
146,10,0.0,10
146,108,0.0,10
146,145,0.0,10
146,149,0.0,10
146,180,0.0,10
146,187,0.0,10
146,213,0.0,10
146,216,0.063841,10
146,223,0.0,10
146,238,0.119372,10
146,282,0.183525,10
146,287,0.0,10
146,301,0.059977,10
146,303,0.0,10
146,328,0.0,10
146,335,0.0,10
146,380,0.0,10
146,414,0.10567,10
146,422,0.05245,10
146,474,0.0,10
146,478,0.0,10
146,79,0.068019,10
147,237,0.0,10
147,276,0.0,10
147,390,0.0,10
147,434,0.197155,10
147,71,0.0,10
147,72,0.0,10
148,0,0.120385,10
148,116,0.0,10
148,173,0.0,10
