Source Node,Target Node,Edge Rate,Timestamp
0,148,0,30
0,153,0,30
0,173,0,30
0,207,0,30
0,256,0.185221,30
0,278,0,30
0,290,0,30
0,40,0,30
0,451,0,30
0,452,0,30
0,60,0,30
0,72,0,30
0,78,0,30
1,108,0,30
1,111,0,30
1,223,0,30
1,230,0,30
1,32,0,30
1,335,0.112139,30
1,383,0,30
1,388,0,30
1,483,0,30
1,8,0.207751,30
1,87,0,30
10,191,0.373266,30
10,22,0,30
10,281,0,30
10,320,0.119741,30
10,347,0,30
10,392,0.217404,30
10,452,0,30
10,72,0,30
10,75,0,30
100,353,0.119926,30
100,356,0.057839,30
100,448,0,30
100,84,0.130369,30
101,103,0.07254,30
101,109,0,30
101,117,0.128671,30
101,173,0,30
101,229,0,30
101,289,0,30
101,292,0.066692,30
101,58,0.094695,30
102,0,0,30
102,201,0,30
102,237,0,30
102,305,0.096832,30
102,33,0,30
102,368,0.180944,30
102,380,0,30
102,388,0,30
102,39,0,30
102,406,0,30
103,195,0.081411,30
103,256,0,30
103,292,0.31142,30
103,316,0,30
103,359,0,30
103,370,0,30
103,41,0,30
103,81,0,30
104,105,0.142331,30
104,121,0.075596,30
104,185,0.076122,30
104,248,0,30
104,371,0,30
104,377,0.063852,30
105,121,0,30
105,216,0.050784,30
105,281,0,30
105,320,0.109064,30
107,195,0,30
107,235,0.070165,30
107,26,0,30
107,303,0,30
107,305,0.054362,30
107,316,0,30
107,359,0,30
107,415,0,30
107,481,0.228578,30
108,105,0,30
108,167,0,30
108,22,0,30
108,252,0.094054,30
108,254,0,30
108,285,0,30
108,305,0,30
108,353,0,30
108,354,0.078268,30
108,358,0,30
108,437,0.138591,30
108,473,0,30
109,105,0.613333,30
109,108,0.053456,30
109,136,0,30
109,138,0,30
109,195,0,30
109,281,0,30
109,320,0,30
109,344,0,30
109,353,1.40318,30
109,484,0,30
109,489,0,30
109,74,0,30
109,89,0,30
11,123,0,30
11,287,0,30
11,399,0,30
11,508,0,30
110,123,0,30
110,143,0,30
110,144,0,30
110,233,0,30
110,303,0,30
110,343,0,30
110,359,0,30
110,455,0,30
110,82,0,30
111,108,0,30
111,203,0.153008,30
111,292,0.19126,30
111,438,0,30
111,497,0.990688,30
112,111,0.14881,30
112,121,0.136028,30
112,138,0,30
112,145,0,30
112,169,0,30
112,191,0,30
112,22,0,30
112,236,0,30
112,26,0,30
112,287,0,30
112,292,0,30
112,362,0,30
112,377,0,30
112,434,0,30
112,445,0,30
112,477,0.058366,30
114,121,0,30
114,153,0,30
114,216,0,30
114,26,0,30
114,260,0,30
114,314,0.18022,30
114,33,0,30
114,354,0,30
114,388,0,30
114,491,0,30
114,71,0,30
115,0,0,30
115,102,0,30
115,170,0,30
115,244,0,30
115,265,0,30
115,33,0,30
115,380,0,30
115,39,0,30
115,40,0,30
115,43,0,30
116,122,0.315747,30
116,144,0,30
116,153,0,30
116,184,0,30
116,185,0.060707,30
116,201,0,30
116,243,0.085683,30
116,265,0.137686,30
116,289,0,30
116,291,0,30
116,321,0,30
116,33,0,30
116,374,0,30
116,379,0,30
116,415,0.115166,30
116,423,0,30
116,435,0.082144,30
116,64,0,30
116,78,0,30
116,95,0,30
117,10,0,30
117,105,0,30
117,109,0.101437,30
117,153,0,30
117,17,0,30
117,195,0,30
117,229,0,30
117,260,0,30
117,281,0,30
117,320,0.096019,30
117,33,0.08176,30
117,85,0,30
117,89,0.305941,30
118,119,0.108968,30
118,125,0,30
118,180,0,30
118,265,0,30
118,382,0.115775,30
118,384,0,30
118,40,0,30
119,111,0,30
119,155,0,30
119,180,0,30
119,229,0,30
119,250,0.0639,30
119,305,0,30
119,383,0,30
119,390,0,30
119,415,0,30
119,450,0,30
119,465,0.062478,30
119,471,0,30
119,80,0.244322,30
12,65,0.06652,30
120,255,0,30
120,320,0.360785,30
120,363,0.125604,30
120,406,0,30
120,421,0,30
120,484,0,30
120,82,0.060727,30
121,123,0,30
121,138,0,30
121,17,0,30
121,236,0,30
121,290,0,30
121,377,0.063145,30
121,445,0,30
121,480,0,30
121,508,0,30
122,121,0,30
122,147,0,30
122,173,0,30
122,185,0.06114,30
122,250,0,30
122,374,0,30
122,415,0.102018,30
122,434,0,30
122,64,0,30
122,71,0,30
122,72,0,30
122,84,0.085482,30
123,108,0.064837,30
123,111,0,30
123,115,0,30
123,169,0,30
123,182,0,30
123,233,0,30
123,359,0,30
123,495,0,30
123,67,0,30
123,84,0,30
124,125,0.054967,30
124,166,0.069204,30
124,215,0,30
124,252,0.058529,30
124,316,0.142551,30
124,359,0.050109,30
124,489,0,30
124,58,0.070842,30
124,74,0,30
125,0,0,30
125,153,0,30
125,208,0.517548,30
125,256,0,30
125,265,0.303993,30
125,297,0.202132,30
125,384,0.79426,30
125,40,0,30
125,413,0.181604,30
125,467,0,30
125,489,0.064614,30
125,74,0,30
126,237,0,30
126,280,0,30
126,294,0.16656,30
126,300,0.083495,30
126,309,0.07901,30
126,363,0,30
126,438,0,30
126,454,0,30
126,484,0,30
126,486,0.065584,30
126,72,0,30
127,156,0.104672,30
127,210,0,30
127,280,0,30
127,287,0,30
127,335,0,30
127,354,0,30
127,363,0.328631,30
127,471,0,30
128,108,0,30
128,348,0,30
128,390,0,30
128,461,0.088808,30
129,110,0,30
129,121,0,30
129,15,0,30
129,17,0,30
129,180,0,30
129,186,0,30
129,198,0,30
129,203,0,30
129,24,0,30
129,30,1.82784,30
129,306,0,30
129,330,0,30
129,353,0,30
129,391,0.490306,30
129,450,0,30
129,461,0,30
129,82,0,30
129,98,0.145705,30
13,138,0,30
13,155,0,30
13,170,0,30
13,200,0,30
13,224,0,30
13,321,0,30
13,349,0,30
13,377,0,30
13,497,0,30
130,185,0.064336,30
130,342,0,30
130,36,0,30
130,360,0,30
130,78,0,30
131,107,0,30
131,171,0.108193,30
131,321,0,30
131,418,0.060738,30
131,419,0,30
131,435,0,30
131,454,0,30
132,105,0,30
132,208,0,30
132,302,0,30
132,327,0,30
132,413,0,30
132,509,0,30
133,109,0,30
133,344,0,30
133,353,0,30
133,358,0,30
133,77,0.124558,30
134,120,0.087276,30
134,131,0,30
134,154,0,30
134,196,0.216179,30
134,214,0,30
134,237,0,30
134,250,0,30
134,285,0,30
134,306,0.140203,30
134,321,0,30
134,326,0,30
134,419,0,30
134,435,0,30
134,454,0.082057,30
134,58,0,30
134,84,0,30
136,109,0,30
136,138,0.093977,30
136,170,0,30
136,335,0,30
136,434,0,30
136,489,0,30
136,5,0,30
136,74,0,30
137,216,0,30
137,218,0.592449,30
137,281,0,30
137,36,0,30
137,472,0.050386,30
138,170,0.147706,30
138,182,0,30
138,214,0,30
138,287,0,30
138,335,0,30
138,434,0.118448,30
138,5,0,30
139,162,0,30
139,342,0,30
139,369,0.056337,30
139,415,0,30
14,155,0,30
14,201,0,30
14,223,0.06686,30
14,248,0,30
14,372,0,30
14,383,0,30
14,386,0,30
14,415,0.112113,30
140,105,0,30
140,117,0,30
140,15,0,30
140,157,0,30
140,181,0,30
140,221,0,30
140,236,0.097377,30
140,252,0,30
140,280,0,30
140,286,0.110278,30
140,287,0,30
140,29,0.052022,30
140,298,0,30
140,301,0.09138,30
140,365,0,30
140,383,0,30
140,389,0,30
140,431,0,30
140,484,0,30
140,495,0,30
140,95,0,30
141,0,0,30
141,115,0,30
141,173,0.118314,30
141,230,0,30
141,233,0,30
141,241,0,30
141,265,0,30
141,312,0,30
141,380,0,30
141,473,0,30
142,442,0,30
142,87,0,30
142,99,0.051841,30
143,121,0.060532,30
143,17,0,30
143,245,0,30
143,377,0,30
143,459,0,30
143,508,0,30
143,91,0,30
144,121,0,30
144,132,0,30
144,167,0,30
144,291,0,30
144,301,0,30
144,303,0,30
144,360,0,30
144,374,0,30
144,439,0,30
144,441,0,30
144,481,0,30
145,138,0,30
145,157,0.178006,30
145,180,0,30
145,187,0.061741,30
145,209,0.179132,30
145,213,1.74771,30
145,22,0,30
145,24,0,30
145,287,0,30
145,347,0,30
145,360,0,30
145,473,0,30
146,10,0,30
146,108,0.065937,30
146,145,0,30
146,149,0,30
146,180,0,30
146,187,0,30
146,213,0,30
146,216,0,30
146,223,0.063259,30
146,229,0,30
146,238,0,30
146,282,0.291427,30
146,287,0,30
146,301,0,30
146,303,0,30
146,328,0,30
146,335,0,30
146,380,0.055267,30
146,414,0,30
146,415,0.142468,30
146,422,0.06764,30
146,474,0.080542,30
146,478,0,30
146,79,0.062382,30
147,237,0,30
147,276,0,30
147,390,0,30
147,434,0,30
147,71,0,30
147,72,0,30
147,84,0.05298,30
148,0,0,30
148,116,0,30
148,173,0,30
148,187,0,30
148,229,0,30
148,24,0,30
148,256,0,30
148,278,0.064748,30
148,36,0.327615,30
148,474,0,30
148,60,0,30
148,78,0,30
149,145,0,30
149,187,0,30
149,213,0,30
149,216,0,30
149,22,0,30
149,23,0,30
149,24,0,30
149,281,0,30
149,282,0,30
149,285,0,30
149,287,0,30
149,408,0,30
149,414,0,30
149,464,0,30
149,47,0.08424,30
149,474,0,30
149,50,0,30
15,140,0,30
15,157,0,30
15,210,0,30
15,221,0,30
15,287,0,30
15,301,0,30
15,353,0,30
15,389,0.210796,30
15,421,0,30
15,95,0,30
151,134,0.289635,30
151,196,0,30
151,214,0,30
151,237,0,30
151,306,0.267231,30
151,321,0,30
151,326,0.114254,30
151,390,0,30
151,419,0,30
151,435,0,30
151,454,0,30
151,58,0,30
151,71,0,30
151,84,0,30
153,0,0,30
153,107,0,30
153,116,0,30
153,121,0,30
153,122,0,30
153,148,0.101059,30
153,265,0.119297,30
153,384,0,30
153,481,0,30
153,491,0,30
153,78,0,30
153,97,0,30
154,131,0,30
154,214,0,30
154,348,0,30
155,111,0.099994,30
155,170,0.147202,30
155,173,0,30
155,223,0,30
155,250,0.067766,30
155,305,0,30
155,380,0,30
155,383,0,30
155,40,0,30
155,408,0,30
155,415,0,30
155,416,0,30
155,473,0,30
155,478,0,30
155,479,0,30
155,62,0,30
155,72,0,30
156,127,0,30
156,136,0.154862,30
156,210,0,30
156,280,0,30
156,335,0,30
156,354,0,30
156,471,0,30
156,5,0.164064,30
156,7,0,30
157,156,0,30
157,187,0,30
157,210,0,30
157,285,0,30
157,335,0,30
157,353,0,30
157,354,0,30
157,473,0,30
157,5,0,30
158,185,0.064561,30
158,187,0,30
158,216,0,30
158,223,0,30
158,253,0,30
158,29,0.092177,30
158,317,0,30
158,335,0,30
158,36,0,30
158,360,0,30
158,386,0.08262,30
158,443,0.141483,30
158,450,0,30
158,481,0.158349,30
158,490,0,30
158,64,0,30
159,10,0,30
159,169,0,30
159,27,0,30
159,415,0,30
159,474,0,30
159,82,0,30
16,390,0,30
16,420,0.149287,30
160,10,0.071935,30
160,121,0,30
160,143,0,30
160,169,0,30
160,17,0,30
160,172,0,30
160,195,0,30
160,22,0,30
160,230,0.140174,30
160,250,0,30
160,281,0.064264,30
160,290,0,30
160,301,0.058587,30
160,305,0,30
160,317,0,30
160,335,0.151163,30
160,354,0.065123,30
160,365,0,30
160,373,0,30
160,385,0,30
160,386,0.052719,30
160,41,0,30
160,452,0,30
160,459,0,30
160,47,0.086062,30
160,65,0.076863,30
160,75,0.088353,30
160,89,0.095988,30
161,102,0,30
161,138,0,30
161,145,0,30
161,163,0.090291,30
161,224,0,30
161,250,0,30
161,320,0,30
161,453,0,30
161,479,0,30
161,483,0,30
162,130,0.052024,30
162,139,0,30
162,168,0,30
162,185,0.064644,30
162,342,0,30
162,360,0,30
162,415,0,30
162,481,0,30
162,7,0.133892,30
163,102,0.069539,30
163,13,0,30
163,138,0,30
163,153,0.076175,30
163,237,0,30
163,305,0,30
163,307,0,30
163,387,0.169321,30
163,408,0,30
163,479,0,30
163,483,0,30
163,491,0,30
164,156,0,30
164,195,0,30
164,201,0,30
164,209,0,30
164,225,0,30
164,235,0.089579,30
164,316,0,30
